        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , 8-Pin #2 Power [W] , 8-Pin #2 Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-08-06 18:55:09 ,         139.0   ,            101.3   ,               26.4   ,        40.4   ,               0   ,                   0   ,            964   ,          0   ,                        7   ,                   0   ,                    0   ,               16.9   ,                   4.6   ,               5.0   ,                11.9   ,              2.8   ,               12.0   ,              8.5   ,               12.0   ,                         6.2   ,              16   ,        0.6500   ,               30.0   ,                  8463   ,
2026-08-06 18:55:10 ,         139.0   ,            101.3   ,               26.2   ,        40.2   ,               0   ,                   0   ,            964   ,          0   ,                        7   ,                   0   ,                    0   ,               17.3   ,                   4.8   ,               4.9   ,                11.9   ,              2.9   ,               12.0   ,              8.9   ,               12.0   ,                         6.3   ,              16   ,        0.6500   ,               30.0   ,                  8463   ,
2026-08-06 18:55:11 ,         139.0   ,            101.3   ,               26.4   ,        40.4   ,               0   ,                   0   ,            964   ,          4   ,                        8   ,                   0   ,                    0   ,               23.1   ,                   7.0   ,               7.6   ,                11.9   ,              4.2   ,               12.0   ,             10.5   ,               12.0   ,                         8.4   ,              16   ,        0.6500   ,               29.0   ,                  8463   ,
2026-08-06 18:55:12 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            964   ,          1   ,                        7   ,                   0   ,                    0   ,               17.0   ,                   4.5   ,               4.9   ,                11.9   ,              2.7   ,               12.0   ,              8.8   ,               12.0   ,                         6.2   ,              16   ,        0.6500   ,               30.0   ,                  8464   ,
2026-08-06 18:55:13 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            964   ,          1   ,                        7   ,                   0   ,                    0   ,               17.4   ,                   4.6   ,               5.0   ,                11.9   ,              2.8   ,               12.0   ,              9.0   ,               12.0   ,                         6.3   ,              16   ,        0.6500   ,               30.0   ,                  8463   ,
2026-08-06 18:55:14 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            964   ,          1   ,                        7   ,                   0   ,                    0   ,               17.0   ,                   4.6   ,               4.9   ,                11.9   ,              2.8   ,               12.0   ,              8.7   ,               12.0   ,                         6.2   ,              16   ,        0.6500   ,               29.0   ,                  8463   ,
2026-08-06 18:55:15 ,         139.0   ,            101.3   ,               26.2   ,        40.2   ,               0   ,                   0   ,            964   ,          1   ,                        7   ,                   0   ,                    0   ,               17.0   ,                   4.6   ,               4.9   ,                11.9   ,              2.8   ,               12.0   ,              8.7   ,               12.0   ,                         6.2   ,              16   ,        0.6500   ,               30.0   ,                  8462   ,
2026-08-06 18:55:16 ,         139.0   ,            101.3   ,               26.3   ,        40.2   ,               0   ,                   0   ,            962   ,          1   ,                        7   ,                   0   ,                    0   ,               16.9   ,                   4.3   ,               4.9   ,                11.9   ,              2.6   ,               12.0   ,              8.8   ,               12.0   ,                         6.2   ,              16   ,        0.6500   ,               29.0   ,                  8461   ,
2026-08-06 18:55:17 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            962   ,          1   ,                        7   ,                   0   ,                    0   ,               16.8   ,                   4.3   ,               4.8   ,                11.9   ,              2.6   ,               12.0   ,              8.8   ,               12.0   ,                         6.1   ,              16   ,        0.6500   ,               29.0   ,                  8461   ,
2026-08-06 18:55:19 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            962   ,          1   ,                        7   ,                   0   ,                    0   ,               16.8   ,                   4.5   ,               4.8   ,                11.9   ,              2.7   ,               12.0   ,              8.6   ,               12.0   ,                         6.1   ,              16   ,        0.6500   ,               29.0   ,                  8461   ,
2026-08-06 18:55:20 ,         139.0   ,            101.3   ,               26.2   ,        40.2   ,               0   ,                   0   ,            962   ,          1   ,                        7   ,                   0   ,                    0   ,               16.8   ,                   4.5   ,               4.8   ,                11.9   ,              2.7   ,               12.0   ,              8.6   ,               12.0   ,                         6.1   ,              16   ,        0.6500   ,               30.0   ,                  8461   ,
2026-08-06 18:55:21 ,         139.0   ,            101.3   ,               26.2   ,        40.2   ,               0   ,                   0   ,            962   ,          1   ,                        7   ,                   0   ,                    0   ,               16.7   ,                   4.3   ,               4.9   ,                11.9   ,              2.6   ,               12.0   ,              8.5   ,               12.0   ,                         6.1   ,              16   ,        0.6500   ,               30.0   ,                  8405   ,
2026-08-06 18:55:22 ,         139.0   ,            101.3   ,               26.2   ,        40.2   ,               0   ,                   0   ,            962   ,          1   ,                        7   ,                   0   ,                    0   ,               16.9   ,                   4.3   ,               4.9   ,                11.9   ,              2.6   ,               12.0   ,              8.8   ,               12.0   ,                         6.2   ,              16   ,        0.6500   ,               30.0   ,                  8403   ,
2026-08-06 18:55:23 ,         139.0   ,            101.3   ,               26.2   ,        40.2   ,               0   ,                   0   ,            962   ,          1   ,                        7   ,                   0   ,                    0   ,               16.8   ,                   4.5   ,               4.9   ,                11.9   ,              2.7   ,               12.0   ,              8.6   ,               12.0   ,                         6.1   ,              16   ,        0.6500   ,               29.0   ,                  8404   ,
2026-08-06 18:55:24 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            961   ,          2   ,                        8   ,                   0   ,                    0   ,               18.4   ,                   5.3   ,               5.3   ,                11.9   ,              4.2   ,               12.0   ,             10.6   ,               12.0   ,                         8.0   ,              16   ,        0.6500   ,               34.0   ,                  8404   ,
2026-08-06 18:55:25 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            960   ,          5   ,                        8   ,                   0   ,                    0   ,               21.8   ,                   7.2   ,               6.2   ,                11.9   ,              4.3   ,               12.0   ,             10.6   ,               12.0   ,                         7.9   ,              16   ,        0.6500   ,               32.0   ,                  8401   ,
2026-08-06 18:55:26 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            959   ,          1   ,                        7   ,                   0   ,                    0   ,               21.5   ,                   6.9   ,               6.2   ,                11.9   ,              4.1   ,               12.0   ,             10.5   ,               12.0   ,                         7.9   ,              16   ,        0.6500   ,               30.0   ,                  8400   ,
2026-08-06 18:55:27 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            959   ,          0   ,                        7   ,                   0   ,                    0   ,               17.0   ,                   4.5   ,               5.0   ,                11.9   ,              2.7   ,               12.0   ,              8.7   ,               12.0   ,                         6.2   ,              16   ,        0.6500   ,               29.0   ,                  8400   ,
2026-08-06 18:55:28 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            959   ,          0   ,                        7   ,                   0   ,                    0   ,               18.0   ,                   4.3   ,               6.2   ,                11.9   ,              2.6   ,               12.0   ,              8.5   ,               12.0   ,                         6.5   ,              16   ,        0.6500   ,               29.0   ,                  8400   ,
2026-08-06 18:55:29 ,         139.0   ,            101.3   ,               26.1   ,        40.1   ,               0   ,                   0   ,            959   ,          1   ,                        7   ,                   0   ,                    0   ,               20.9   ,                   7.2   ,               6.3   ,                11.9   ,              4.3   ,               12.0   ,             10.7   ,               12.0   ,                         8.0   ,              16   ,        0.6500   ,               37.0   ,                  8400   ,
2026-08-06 18:55:29 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            959   ,          3   ,                        7   ,                   0   ,                    0   ,               21.5   ,                   6.9   ,               6.2   ,                11.9   ,              4.1   ,               12.0   ,             10.5   ,               12.0   ,                         7.8   ,              16   ,        0.6500   ,               29.0   ,                  8400   ,
2026-08-06 18:55:31 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            961   ,          3   ,                        7   ,                   0   ,                    0   ,               17.3   ,                   6.9   ,               6.1   ,                11.9   ,              4.1   ,               12.0   ,             10.5   ,               12.0   ,                         7.8   ,              16   ,        0.6500   ,               31.0   ,                  8401   ,
2026-08-06 18:55:32 ,         847.5   ,            202.5   ,               26.5   ,        40.5   ,               0   ,                   0   ,           1050   ,         50   ,                       31   ,                   0   ,                    5   ,               47.8   ,                  20.6   ,              12.5   ,                11.9   ,             12.5   ,               12.0   ,             22.5   ,               11.9   ,                        17.5   ,              16   ,        0.6500   ,               43.0   ,                  8430   ,
2026-08-06 18:55:33 ,        1733.5   ,           1377.0   ,               42.8   ,        56.8   ,               0   ,                   0   ,           1035   ,         96   ,                       94   ,                   0   ,                    0   ,              273.6   ,                 203.5   ,              38.1   ,                11.8   ,            122.1   ,               11.8   ,            112.7   ,               11.8   ,                        99.5   ,               1   ,        0.8930   ,               38.0   ,                  8433   ,
2026-08-06 18:55:34 ,        1708.5   ,           1377.0   ,               45.9   ,        59.9   ,               0   ,                   0   ,           1035   ,         96   ,                       92   ,                   0   ,                    0   ,              265.3   ,                 192.7   ,              37.6   ,                11.9   ,            115.6   ,               11.9   ,            111.4   ,               11.9   ,                        96.5   ,               1   ,        0.8810   ,               38.0   ,                  8432   ,
2026-08-06 18:55:35 ,        1695.5   ,           1377.0   ,               47.0   ,        61.0   ,               0   ,                   0   ,           1035   ,         96   ,                       92   ,                   0   ,                    0   ,              263.1   ,                 192.5   ,              37.6   ,                11.9   ,            115.5   ,               11.9   ,            109.3   ,               11.9   ,                        95.7   ,               1   ,        0.8750   ,               43.0   ,                  8432   ,
2026-08-06 18:55:36 ,        1708.5   ,           1377.0   ,               47.9   ,        61.9   ,               0   ,                   0   ,           1035   ,         96   ,                       91   ,                   0   ,                    0   ,              272.9   ,                 200.2   ,              38.1   ,                11.9   ,            120.1   ,               11.8   ,            114.0   ,               11.9   ,                        99.2   ,               1   ,        0.8810   ,               44.0   ,                  8432   ,
2026-08-06 18:55:37 ,        1708.5   ,           1377.0   ,               48.1   ,        62.1   ,               0   ,                   0   ,           1035   ,         96   ,                       92   ,                   0   ,                    0   ,              214.3   ,                 150.7   ,              33.6   ,                11.9   ,             90.4   ,               11.9   ,             89.6   ,               11.9   ,                        77.9   ,               1   ,        0.8930   ,               45.0   ,                  8426   ,
2026-08-06 18:55:38 ,        1721.0   ,           1377.0   ,               48.4   ,        62.4   ,               0   ,                   0   ,           1035   ,         96   ,                       94   ,                   0   ,                    0   ,              232.2   ,                  86.8   ,              24.0   ,                11.9   ,             30.2   ,               12.0   ,             44.6   ,               11.9   ,                        36.2   ,              16   ,        0.8930   ,               47.0   ,                  8424   ,
2026-08-06 18:55:39 ,        1733.5   ,           1377.0   ,               48.8   ,        62.8   ,               0   ,                   0   ,           1035   ,         93   ,                       92   ,                   0   ,                    0   ,              206.2   ,                 145.6   ,              32.4   ,                11.9   ,             63.6   ,               11.9   ,             68.1   ,               11.9   ,                        58.9   ,              16   ,        0.8930   ,               43.0   ,                  8424   ,
2026-08-06 18:55:40 ,        1733.5   ,           1377.0   ,               49.5   ,        63.5   ,               0   ,                   0   ,           1035   ,         96   ,                       93   ,                   0   ,                    0   ,              170.4   ,                 114.2   ,              29.5   ,                11.9   ,             68.5   ,               11.9   ,             71.7   ,               11.9   ,                        61.9   ,               1   ,        0.8930   ,               46.0   ,                  8424   ,
2026-08-06 18:55:41 ,        1733.5   ,           1377.0   ,               50.1   ,        64.1   ,               0   ,                   0   ,           1035   ,         96   ,                       94   ,                   0   ,                    0   ,              262.6   ,                 194.2   ,              37.3   ,                11.9   ,            116.5   ,               11.9   ,            108.1   ,               11.9   ,                        41.5   ,              16   ,        0.8930   ,               44.0   ,                  8422   ,
2026-08-06 18:55:41 ,        1708.5   ,           1377.0   ,               49.7   ,        63.7   ,               0   ,                   0   ,           1035   ,         96   ,                       93   ,                   0   ,                    0   ,              265.1   ,                 190.8   ,              37.7   ,                11.9   ,            114.5   ,               11.8   ,            112.3   ,               11.9   ,                        96.4   ,              16   ,        0.8810   ,               43.0   ,                  8423   ,
2026-08-06 18:55:42 ,        1733.5   ,           1377.0   ,               50.6   ,        64.6   ,               0   ,                   0   ,           1035   ,         96   ,                       93   ,                   0   ,                    0   ,              271.1   ,                 199.5   ,              37.6   ,                11.9   ,            119.7   ,               11.8   ,            113.1   ,               11.9   ,                        98.6   ,               1   ,        0.8930   ,               44.0   ,                  8422   ,
2026-08-06 18:55:44 ,        1708.5   ,           1377.0   ,               50.8   ,        64.8   ,               0   ,                   0   ,           1035   ,         96   ,                       93   ,                   0   ,                    0   ,              251.4   ,                 183.7   ,              37.7   ,                11.9   ,            110.2   ,               11.9   ,            102.8   ,               11.9   ,                        91.4   ,              16   ,        0.8810   ,               45.0   ,                  8419   ,
2026-08-06 18:55:45 ,        1708.5   ,           1377.0   ,               50.9   ,        64.9   ,               0   ,                   0   ,           1035   ,         91   ,                       86   ,                   0   ,                    0   ,               94.0   ,                  37.6   ,              23.0   ,                11.9   ,             22.6   ,               12.0   ,             38.8   ,               12.0   ,                        30.9   ,              16   ,        0.8810   ,               44.0   ,                  8419   ,
2026-08-06 18:55:46 ,        1733.5   ,           1377.0   ,               51.5   ,        65.5   ,               0   ,                   0   ,           1035   ,         96   ,                       94   ,                   0   ,                    0   ,              246.2   ,                 184.3   ,              36.2   ,                11.9   ,            110.6   ,               11.9   ,             98.7   ,               11.9   ,                        89.5   ,               1   ,        0.8810   ,               45.0   ,                  8417   ,
2026-08-06 18:55:47 ,        1721.0   ,           1377.0   ,               51.5   ,        65.5   ,               0   ,                   0   ,           1035   ,         91   ,                       90   ,                   0   ,                    0   ,              147.1   ,                  93.3   ,              27.8   ,                11.9   ,             56.0   ,               11.9   ,             62.6   ,               11.9   ,                        53.5   ,              16   ,        0.8930   ,               46.0   ,                  8417   ,
2026-08-06 18:55:48 ,        1708.5   ,           1377.0   ,               51.6   ,        65.6   ,               0   ,                   0   ,           1035   ,         86   ,                       83   ,                   0   ,                    0   ,              166.3   ,                 109.4   ,              29.4   ,                11.9   ,             65.7   ,               11.9   ,             70.5   ,               11.9   ,                        60.5   ,               1   ,        0.8810   ,               45.0   ,                  8415   ,
2026-08-06 18:55:49 ,        1733.5   ,           1377.0   ,               52.2   ,        66.2   ,               0   ,                   0   ,           1035   ,         90   ,                       88   ,                   0   ,                    0   ,              174.0   ,                 116.1   ,              29.4   ,                11.9   ,             69.7   ,               11.9   ,             74.2   ,               11.9   ,                        82.2   ,              16   ,        0.8930   ,               43.0   ,                  8415   ,
2026-08-06 18:55:50 ,        1733.5   ,           1377.0   ,               52.0   ,        66.0   ,               0   ,                   0   ,           1035   ,         84   ,                       82   ,                   0   ,                    0   ,              255.8   ,                 187.3   ,              36.1   ,                11.9   ,            112.4   ,               11.9   ,             49.2   ,               11.9   ,                        40.7   ,              16   ,        0.8930   ,               45.0   ,                  8415   ,
2026-08-06 18:55:51 ,        1708.5   ,           1377.0   ,               53.0   ,        67.0   ,               0   ,                   0   ,           1035   ,         95   ,                       92   ,                   0   ,                    0   ,              267.1   ,                 197.0   ,              38.0   ,                11.9   ,             26.3   ,               12.0   ,             41.5   ,               11.9   ,                        59.9   ,              16   ,        0.8810   ,               43.0   ,                  8413   ,
2026-08-06 18:55:52 ,        1708.5   ,           1377.0   ,               53.3   ,        67.3   ,               0   ,                   0   ,           1035   ,         96   ,                       93   ,                   0   ,                    0   ,              170.8   ,                 113.7   ,              30.0   ,                11.9   ,             68.2   ,               11.9   ,             71.9   ,               11.9   ,                        62.1   ,               1   ,        0.8810   ,               42.0   ,                  8412   ,
